cfg,loss_pct,delay_ms,repeat,target_bytes,recv_bytes,sec,mbps
A,1,6,1,4194304,4194304,1.702,2.4643
A,1,6,2,4194304,4194304,1.096,3.8269
A,1,20,1,4194304,4194304,3.247,1.2917
A,1,20,2,4194304,4194304,3.484,1.2039
A,1,50,1,4194304,4194304,7.541,0.5562
A,1,50,2,4194304,4194304,7.930,0.5289
A,1,100,1,4194304,4194304,16.113,0.2603
A,1,100,2,4194304,4194304,16.120,0.2602
