cfg,loss_pct,delay_ms,repeat,target_bytes,recv_bytes,sec,mbps
B,0,6,1,4194304,4194304,0.866,4.8433
B,0,6,2,4194304,4194304,0.862,4.8658
B,0,6,3,4194304,4194304,0.873,4.8045
